it|dt1|dt2|dt3|dt4|dt5|dt6|dt7|dt8|dt9|dt10|Or
------------------------------------------------------
-----------------SAMPLE-----------------------
1 | 52 | 39 | 55 | 58 | 57 | 50 | 49 | 46 | 56 | 38 | 0.49159288 
2 | 83 | 40 | 49 | 56 | 53 | 56 | 47 | 46 | 49 | 21 | 0.44208905 
3 | 127 | 33 | 43 | 57 | 57 | 56 | 45 | 39 | 34 | 9 | 0.3804253 
4 | 160 | 32 | 45 | 60 | 59 | 52 | 36 | 33 | 22 | 1 | 0.32600573 
5 | 192 | 39 | 44 | 62 | 55 | 50 | 31 | 18 | 9 | 0 | 0.27212647 
6 | 218 | 37 | 49 | 64 | 57 | 42 | 23 | 7 | 3 | 0 | 0.2332073 
7 | 226 | 47 | 56 | 79 | 47 | 29 | 11 | 5 | 0 | 0 | 0.20812573 
8 | 221 | 59 | 64 | 82 | 43 | 20 | 8 | 3 | 0 | 0 | 0.20143807 
9 | 207 | 78 | 71 | 85 | 36 | 18 | 4 | 1 | 0 | 0 | 0.19610356 
10 | 188 | 100 | 79 | 80 | 40 | 11 | 2 | 0 | 0 | 0 | 0.19327378 
11 | 168 | 121 | 95 | 75 | 36 | 5 | 0 | 0 | 0 | 0 | 0.18986666 
12 | 144 | 144 | 106 | 78 | 26 | 2 | 0 | 0 | 0 | 0 | 0.18997471 
13 | 124 | 169 | 117 | 70 | 20 | 0 | 0 | 0 | 0 | 0 | 0.189179 
14 | 99 | 196 | 124 | 70 | 11 | 0 | 0 | 0 | 0 | 0 | 0.19017772 
15 | 75 | 218 | 130 | 71 | 6 | 0 | 0 | 0 | 0 | 0 | 0.19105431 
16 | 53 | 246 | 142 | 58 | 1 | 0 | 0 | 0 | 0 | 0 | 0.19074596 
17 | 27 | 273 | 155 | 45 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19078432 
18 | 19 | 284 | 160 | 37 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19112507 
19 | 7 | 290 | 175 | 28 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19115235 
20 | 3 | 295 | 185 | 17 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19140483 
21 | 1 | 299 | 186 | 14 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19129458 
22 | 1 | 299 | 196 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19122064 
23 | 0 | 301 | 196 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19125138 
24 | 0 | 310 | 190 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19110525 
25 | 0 | 310 | 190 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19119208 
26 | 0 | 323 | 177 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19098283 
27 | 0 | 320 | 180 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1912165 
28 | 0 | 328 | 172 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19119243 
29 | 0 | 327 | 173 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19130498 
30 | 0 | 335 | 165 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19131123 
31 | 0 | 343 | 157 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19133425 
32 | 0 | 355 | 145 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19127876 
33 | 0 | 366 | 134 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19121975 
34 | 0 | 371 | 129 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19120792 
35 | 0 | 376 | 124 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19121681 
36 | 0 | 386 | 114 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19119251 
37 | 0 | 400 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1912 
38 | 0 | 411 | 89 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19125931 
39 | 0 | 421 | 79 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19123994 
40 | 0 | 428 | 72 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1911918 
41 | 0 | 443 | 57 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19120695 
42 | 0 | 451 | 49 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19118908 
43 | 0 | 461 | 39 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117612 
44 | 0 | 470 | 30 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19119045 
45 | 0 | 476 | 24 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1911615 
46 | 0 | 484 | 16 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19114302 
47 | 0 | 487 | 13 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19113532 
48 | 0 | 492 | 8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19114642 
49 | 0 | 495 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19113374 
50 | 0 | 496 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19113797 
51 | 0 | 498 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19113961 
52 | 0 | 499 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1911413 
53 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19114317 
54 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19115491 
55 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1911529 
56 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19116311 
57 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19116777 
58 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117191 
59 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.191172 
60 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19118111 
61 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1911766 
62 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117111 
63 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117141 
64 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19116934 
65 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19116926 
66 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.191171 
67 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1911754 
68 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1911754 
69 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117936 
70 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1911805 
71 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1911827 
72 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117986 
73 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19118257 
74 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19118083 
75 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117956 
76 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117934 
77 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117922 
78 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19118026 
79 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19118124 
80 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19118187 
81 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19118062 
82 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19118045 
83 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19118099 
84 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117978 
85 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117905 
86 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117868 
87 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117866 
88 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117841 
89 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117829 
90 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117829 
91 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117823 
92 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.19117813 
