it|dt1|dt2|dt3|dt4|dt5|dt6|dt7|dt8|dt9|dt10|Or
------------------------------------------------------
-----------------SAMPLE-----------------------
1 | 48 | 39 | 37 | 66 | 51 | 38 | 52 | 63 | 42 | 64 | 0.5246411 
2 | 70 | 32 | 58 | 53 | 51 | 54 | 57 | 49 | 56 | 20 | 0.46366295 
3 | 79 | 47 | 47 | 50 | 66 | 62 | 58 | 56 | 32 | 3 | 0.42426938 
4 | 89 | 58 | 52 | 47 | 78 | 72 | 53 | 42 | 9 | 0 | 0.37712774 
5 | 72 | 70 | 62 | 76 | 87 | 58 | 53 | 20 | 2 | 0 | 0.3534421 
6 | 53 | 71 | 76 | 106 | 98 | 71 | 22 | 3 | 0 | 0 | 0.33809683 
7 | 23 | 58 | 104 | 145 | 106 | 61 | 3 | 0 | 0 | 0 | 0.33827683 
8 | 7 | 28 | 135 | 190 | 126 | 14 | 0 | 0 | 0 | 0 | 0.33679748 
9 | 0 | 11 | 142 | 250 | 94 | 3 | 0 | 0 | 0 | 0 | 0.33782887 
10 | 0 | 1 | 123 | 318 | 58 | 0 | 0 | 0 | 0 | 0 | 0.33829284 
11 | 0 | 0 | 83 | 396 | 21 | 0 | 0 | 0 | 0 | 0 | 0.338296 
12 | 0 | 0 | 39 | 457 | 4 | 0 | 0 | 0 | 0 | 0 | 0.33816448 
13 | 0 | 0 | 9 | 491 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3388563 
14 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33940426 
15 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3392782 
16 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33964503 
17 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3397578 
18 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3397311 
19 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33967936 
20 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975092 
21 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33978605 
22 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3397777 
23 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33978176 
24 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3397572 
25 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3397571 
26 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975187 
27 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3397546 
28 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975175 
29 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975267 
30 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975336 
31 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3397531 
32 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975232 
33 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975226 
34 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975118 
35 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3397515 
36 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3397514 
37 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975154 
38 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3397514 
39 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975148 
40 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975163 
41 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975187 
42 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975202 
43 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975208 
44 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975208 
45 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975214 
46 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975214 
47 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975214 
48 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975214 
49 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975214 
50 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975214 
51 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
52 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
53 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
54 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
55 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
56 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
57 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
58 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
59 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
60 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
61 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
62 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
63 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
64 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
65 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
66 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
67 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
68 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
69 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
70 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
71 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
72 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
73 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
74 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
75 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
76 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
77 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
78 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
79 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
80 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
81 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
82 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
83 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
84 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
85 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
86 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
87 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
88 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
89 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
90 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
91 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
92 | 0 | 0 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0.33975217 
